time 	 desired_ee_pos 	 ee_pos
0.168123	3.70318 1.38594	  3.674 1.38581
0.169121	3.70345 1.38594	 3.6742 1.38581
0.17012	3.70372 1.38594	 3.6744 1.38581
0.171118	3.70399 1.38594	 3.6746 1.38581
0.172118	3.70425 1.38594	3.67481 1.38581
0.173119	3.70452 1.38594	3.67501 1.38581
0.174119	3.70479 1.38594	3.67522 1.38582
0.17512	3.70506 1.38594	3.67542 1.38582
0.176118	3.70533 1.38594	3.67563 1.38582
0.177118	3.70559 1.38594	3.67583 1.38582
0.178119	3.70586 1.38594	3.67604 1.38582
0.179118	3.70613 1.38594	3.67625 1.38582
0.180118	3.70639 1.38594	3.67646 1.38582
0.181119	3.70666 1.38594	3.67667 1.38582
0.18212	3.70693 1.38594	3.67688 1.38582
0.18312	3.70719 1.38594	3.67709 1.38582
0.18412	3.70746 1.38594	 3.6773 1.38582
0.18512	3.70772 1.38594	3.67751 1.38582
0.186119	3.70799 1.38594	3.67772 1.38582
0.187119	3.70826 1.38594	3.67793 1.38582
0.188119	3.70852 1.38594	3.67815 1.38582
0.189119	3.70879 1.38594	3.67836 1.38582
0.190119	3.70905 1.38594	3.67858 1.38582
0.191119	3.70932 1.38594	3.67879 1.38582
0.19212	3.70958 1.38594	3.67901 1.38583
0.19312	3.70984 1.38594	3.67922 1.38583
0.194121	3.71011 1.38594	3.67944 1.38583
0.195119	3.71037 1.38594	3.67966 1.38583
0.196118	3.71064 1.38594	3.67987 1.38583
0.197118	 3.7109 1.38594	3.68009 1.38583
0.198123	3.71116 1.38594	3.68031 1.38583
0.199123	3.71143 1.38594	3.68053 1.38583
0.200128	3.71169 1.38594	3.68075 1.38583
0.201119	3.71195 1.38594	3.68097 1.38583
0.202122	3.71221 1.38594	3.68119 1.38583
0.203118	3.71248 1.38594	3.68141 1.38583
0.204116	3.71274 1.38594	3.68163 1.38583
0.205116	  3.713 1.38594	3.68185 1.38583
0.206117	3.71326 1.38594	3.68208 1.38583
0.207115	3.71352 1.38594	 3.6823 1.38583
0.208115	3.71379 1.38594	3.68252 1.38583
0.209115	3.71405 1.38594	3.68274 1.38583
0.210119	3.71431 1.38594	3.68297 1.38583
0.211116	3.71457 1.38594	3.68319 1.38583
0.212115	3.71483 1.38594	3.68342 1.38583
0.213114	3.71509 1.38594	3.68364 1.38583
0.214119	3.71535 1.38594	3.68387 1.38583
0.215116	3.71561 1.38594	3.68409 1.38583
0.216118	3.71587 1.38594	3.68432 1.38583
0.217118	3.71613 1.38594	3.68455 1.38584
0.218132	3.71639 1.38594	3.68477 1.38584
0.219125	3.71665 1.38594	  3.685 1.38584
0.220118	3.71691 1.38594	3.68523 1.38584
0.221122	3.71717 1.38594	3.68546 1.38584
0.222118	3.71742 1.38594	3.68569 1.38584
0.223119	3.71768 1.38594	3.68592 1.38584
0.224116	3.71794 1.38594	3.68614 1.38584
0.225115	 3.7182 1.38594	3.68637 1.38584
0.226118	3.71846 1.38594	 3.6866 1.38584
0.227117	3.71871 1.38594	3.68683 1.38584
0.228115	3.71897 1.38594	3.68706 1.38584
0.229115	3.71923 1.38594	 3.6873 1.38584
0.23012	3.71948 1.38594	3.68753 1.38584
0.231138	3.71974 1.38594	3.68776 1.38584
0.232124	   3.72 1.38594	3.68799 1.38584
0.233121	3.72025 1.38594	3.68822 1.38584
0.234122	3.72051 1.38594	3.68845 1.38584
0.235118	3.72076 1.38594	3.68869 1.38584
0.23612	3.72102 1.38594	3.68892 1.38584
0.237116	3.72127 1.38594	3.68915 1.38584
0.238118	3.72153 1.38594	3.68939 1.38584
0.239115	3.72178 1.38594	3.68962 1.38584
0.240116	3.72204 1.38594	3.68985 1.38584
0.241115	3.72229 1.38594	3.69009 1.38584
0.242117	3.72255 1.38594	3.69032 1.38584
0.243136	 3.7228 1.38594	3.69056 1.38584
0.244119	3.72305 1.38594	3.69079 1.38584
0.245118	3.72331 1.38594	3.69103 1.38584
0.246118	3.72356 1.38594	3.69126 1.38584
0.247117	3.72381 1.38594	 3.6915 1.38584
0.248117	3.72406 1.38594	3.69174 1.38584
0.249138	3.72432 1.38594	3.69197 1.38584
0.250549	3.72457 1.38594	3.69216 1.38584
0.251151	3.72482 1.38594	3.69245 1.38584
0.252121	3.72507 1.38594	3.69268 1.38584
0.253117	3.72532 1.38594	3.69292 1.38584
0.254119	3.72557 1.38594	3.69316 1.38584
0.255116	3.72583 1.38594	3.69339 1.38584
0.256115	3.72608 1.38594	3.69363 1.38584
0.257115	3.72633 1.38594	3.69387 1.38584
0.258117	3.72658 1.38594	3.69411 1.38585
0.259116	3.72683 1.38594	3.69435 1.38585
0.260115	3.72708 1.38594	3.69458 1.38585
0.261115	3.72733 1.38594	3.69482 1.38585
0.262122	3.72757 1.38594	3.69506 1.38585
0.263132	3.72782 1.38594	 3.6953 1.38585
0.264173	3.72807 1.38594	3.69554 1.38585
0.265132	3.72832 1.38594	3.69578 1.38585
0.266171	3.72857 1.38594	3.69602 1.38585
0.267129	3.72882 1.38594	3.69626 1.38585
0.268138	3.72906 1.38594	 3.6965 1.38585
