time 	 force 	 position
0.176256	-0.754137  0.804579	1.67515 1.37312
0.177474	-0.754136  0.804578	1.67515 1.37312
0.178176	-0.754136  0.804578	1.67515 1.37312
0.179204	-0.754136  0.804578	1.67515 1.37312
0.180486	-0.754136  0.804577	1.67515 1.37312
0.181849	-0.754135  0.804577	1.67515 1.37312
0.182193	-0.754135  0.804577	1.67515 1.37312
0.183605	-0.754135  0.804577	1.67515 1.37312
0.184277	-0.754135  0.804577	1.67515 1.37312
0.185224	-0.754135  0.804577	1.67515 1.37312
0.186398	-0.754135  0.804577	1.67515 1.37312
0.187134	-0.754135  0.804577	1.67515 1.37312
0.188192	-0.754135  0.804577	1.67515 1.37312
0.191167	-0.754135  0.804577	1.67515 1.37312
0.191259	-0.754135  0.804577	1.67515 1.37312
0.191315	-0.754135  0.804577	1.67515 1.37312
0.192351	-0.754135  0.804578	1.67515 1.37312
0.193811	-0.754136  0.804578	1.67515 1.37312
0.194342	-0.754136  0.804578	1.67515 1.37312
0.195737	-0.754136  0.804578	1.67515 1.37312
0.196588	-0.754136  0.804578	1.67515 1.37312
0.197289	-0.754136  0.804578	1.67515 1.37312
0.19885	-0.754136  0.804578	1.67515 1.37312
0.199209	-0.754136  0.804578	1.67515 1.37312
0.200291	-0.754136  0.804579	1.67515 1.37312
0.201187	-0.754136  0.804579	1.67515 1.37312
0.202385	-0.754137  0.804579	1.67515 1.37312
0.20351	-0.754137  0.804579	1.67515 1.37312
0.20427	-0.754137  0.804579	1.67515 1.37312
0.205344	-0.754137  0.804579	1.67515 1.37312
0.206177	-0.754137  0.804579	1.67515 1.37312
0.208146	-0.754137  0.804579	1.67515 1.37312
0.208219	-0.754137  0.804579	1.67515 1.37312
0.209159	-0.754137   0.80458	1.67515 1.37312
0.210777	-0.754137   0.80458	1.67515 1.37312
0.211209	-0.754137   0.80458	1.67515 1.37312
0.212573	-0.754137   0.80458	1.67515 1.37312
0.213372	-0.754137   0.80458	1.67515 1.37312
0.214295	-0.754138   0.80458	1.67515 1.37312
0.215744	-0.754138   0.80458	1.67515 1.37312
0.216166	-0.754138   0.80458	1.67515 1.37312
0.217273	-0.754138   0.80458	1.67515 1.37312
0.218239	-0.754138   0.80458	1.67515 1.37312
0.219337	-0.754138   0.80458	1.67515 1.37312
