time 	 desired_ee_pos 	 ee_pos
0.216117	3.65647 1.38594	3.65647 1.38585
0.217115	3.65647 1.38594	3.65647 1.38585
0.218116	3.65647 1.38594	3.65647 1.38585
0.219151	3.65647 1.38594	3.65647 1.38585
0.220128	3.65647 1.38594	3.65647 1.38585
0.221118	3.65647 1.38594	3.65647 1.38585
0.222118	3.65647 1.38594	3.65647 1.38585
0.223119	3.65647 1.38594	3.65647 1.38586
0.224116	3.65647 1.38594	3.65647 1.38586
0.225115	3.65647 1.38594	3.65647 1.38586
0.226116	3.65647 1.38594	3.65647 1.38586
0.227117	3.65647 1.38594	3.65647 1.38586
0.228134	3.65647 1.38594	3.65647 1.38586
0.229125	3.65647 1.38594	3.65647 1.38586
0.230167	3.65647 1.38594	3.65647 1.38586
0.231131	3.65647 1.38594	3.65647 1.38586
0.232151	3.65647 1.38594	3.65647 1.38586
0.233147	3.65647 1.38594	3.65647 1.38586
0.234147	3.65647 1.38594	3.65647 1.38586
0.235146	3.65647 1.38594	3.65647 1.38586
0.236136	3.65647 1.38594	3.65647 1.38586
0.237124	3.65647 1.38594	3.65647 1.38586
0.238126	3.65647 1.38594	3.65647 1.38586
0.239117	3.65647 1.38594	3.65647 1.38586
0.240116	3.65647 1.38594	3.65647 1.38586
0.241116	3.65647 1.38594	3.65647 1.38586
0.242116	3.65647 1.38594	3.65647 1.38586
0.243119	3.65647 1.38594	3.65647 1.38586
0.244117	3.65647 1.38594	3.65647 1.38586
0.245116	3.65647 1.38594	3.65647 1.38586
0.246117	3.65647 1.38594	3.65647 1.38587
0.247116	3.65647 1.38594	3.65647 1.38587
0.248119	3.65647 1.38594	3.65647 1.38587
0.249197	3.65647 1.38594	3.65647 1.38587
0.250151	3.65647 1.38594	3.65647 1.38587
0.251116	3.65647 1.38594	3.65647 1.38587
0.252117	3.65647 1.38594	3.65647 1.38587
0.253119	3.65647 1.38594	3.65647 1.38587
0.254119	3.65647 1.38594	3.65647 1.38587
0.255117	3.65647 1.38594	3.65647 1.38587
0.256116	3.65647 1.38594	3.65647 1.38587
0.257116	3.65647 1.38594	3.65647 1.38587
0.258117	3.65647 1.38594	3.65647 1.38587
0.259116	3.65647 1.38594	3.65647 1.38587
0.260116	3.65647 1.38594	3.65647 1.38587
0.261172	3.65647 1.38594	3.65647 1.38587
0.262149	3.65647 1.38594	3.65647 1.38587
0.263135	3.65647 1.38594	3.65647 1.38587
0.264127	3.65647 1.38594	3.65647 1.38587
0.265128	3.65647 1.38594	3.65647 1.38587
0.266124	3.65647 1.38594	3.65647 1.38587
0.267125	3.65647 1.38594	3.65647 1.38587
0.268122	3.65647 1.38594	3.65647 1.38587
0.269223	3.65647 1.38594	3.65647 1.38587
0.270118	3.65647 1.38594	3.65647 1.38587
0.271118	3.65647 1.38594	3.65647 1.38587
0.272116	3.65647 1.38594	3.65647 1.38587
0.273115	3.65647 1.38594	3.65647 1.38587
0.274116	3.65647 1.38594	3.65647 1.38587
0.275118	3.65647 1.38594	3.65647 1.38588
0.276116	3.65647 1.38594	3.65647 1.38588
0.277116	3.65647 1.38594	3.65647 1.38588
0.278118	3.65647 1.38594	3.65647 1.38588
0.279116	3.65647 1.38594	3.65647 1.38588
0.280115	3.65647 1.38594	3.65647 1.38588
0.281117	3.65647 1.38594	3.65647 1.38588
0.28212	3.65647 1.38594	3.65647 1.38588
0.283117	3.65647 1.38594	3.65647 1.38588
0.284118	3.65647 1.38594	3.65647 1.38588
0.285116	3.65647 1.38594	3.65647 1.38588
0.286119	3.65647 1.38594	3.65647 1.38588
0.287117	3.65647 1.38594	3.65647 1.38588
0.288117	3.65647 1.38594	3.65647 1.38588
0.289115	3.65647 1.38594	3.65647 1.38588
0.290117	3.65647 1.38594	3.65647 1.38588
0.291116	3.65647 1.38594	3.65647 1.38588
0.292116	3.65647 1.38594	3.65647 1.38588
0.293116	3.65647 1.38594	3.65647 1.38588
0.294117	3.65647 1.38594	3.65647 1.38588
0.295149	3.65647 1.38594	3.65647 1.38588
0.296138	3.65647 1.38594	3.65647 1.38588
0.297119	3.65647 1.38594	3.65647 1.38588
0.298126	3.65647 1.38594	3.65647 1.38588
0.299159	3.65647 1.38594	3.65647 1.38588
0.300118	3.65647 1.38594	3.65647 1.38588
0.301118	3.65647 1.38594	3.65647 1.38588
0.302121	3.65647 1.38594	3.65647 1.38588
0.303117	3.65647 1.38594	3.65647 1.38588
0.304119	3.65647 1.38594	3.65647 1.38588
0.305116	3.65647 1.38594	3.65647 1.38588
0.306117	3.65647 1.38594	3.65647 1.38588
0.307115	3.65647 1.38594	3.65647 1.38588
0.308115	3.65647 1.38594	3.65647 1.38588
0.309115	3.65647 1.38594	3.65647 1.38588
0.310118	3.65647 1.38594	3.65647 1.38588
0.311116	3.65647 1.38594	3.65647 1.38588
0.312116	3.65647 1.38594	3.65647 1.38588
0.313115	3.65647 1.38594	3.65647 1.38588
0.314123	3.65647 1.38594	3.65647 1.38588
0.315118	3.65647 1.38594	3.65647 1.38589
0.316116	3.65647 1.38594	3.65647 1.38589
0.317117	3.65647 1.38594	3.65647 1.38589
0.318117	3.65647 1.38594	3.65647 1.38589
0.319138	3.65647 1.38594	3.65647 1.38589
0.320118	3.65647 1.38594	3.65647 1.38589
0.321117	3.65647 1.38594	3.65647 1.38589
0.322117	3.65647 1.38594	3.65647 1.38589
0.323115	3.65647 1.38594	3.65647 1.38589
0.324125	3.65647 1.38594	3.65647 1.38589
0.325115	3.65647 1.38594	3.65647 1.38589
0.326117	3.65647 1.38594	3.65647 1.38589
0.327115	3.65647 1.38594	3.65647 1.38589
0.328122	3.65647 1.38594	3.65647 1.38589
0.32912	3.65647 1.38594	3.65647 1.38589
0.330121	3.65647 1.38594	3.65647 1.38589
0.331118	3.65647 1.38594	3.65647 1.38589
0.332118	3.65647 1.38594	3.65647 1.38589
0.333117	3.65647 1.38594	3.65647 1.38589
0.334117	3.65647 1.38594	3.65647 1.38589
0.335116	3.65647 1.38594	3.65647 1.38589
0.336117	3.65647 1.38594	3.65647 1.38589
0.337116	3.65647 1.38594	3.65647 1.38589
0.338119	3.65647 1.38594	3.65647 1.38589
0.339116	3.65647 1.38594	3.65647 1.38589
0.340118	3.65647 1.38594	3.65647 1.38589
0.341116	3.65647 1.38594	3.65647 1.38589
0.342117	3.65647 1.38594	3.65647 1.38589
0.343115	3.65647 1.38594	3.65647 1.38589
0.344115	3.65647 1.38594	3.65647 1.38589
0.345117	3.65647 1.38594	3.65647 1.38589
0.346117	3.65647 1.38594	3.65647 1.38589
0.347115	3.65647 1.38594	3.65647 1.38589
0.348125	3.65647 1.38594	3.65647 1.38589
0.349119	3.65647 1.38594	3.65647 1.38589
0.350355	3.65647 1.38594	3.65647 1.38589
0.351529	3.65647 1.38594	3.65647 1.38589
0.352151	3.65647 1.38594	3.65647 1.38589
0.35312	3.65647 1.38594	3.65647 1.38589
0.35412	3.65647 1.38594	3.65647 1.38589
0.355116	3.65647 1.38594	3.65647 1.38589
0.356115	3.65647 1.38594	3.65647 1.38589
0.357116	3.65647 1.38594	3.65647 1.38589
0.358117	3.65647 1.38594	3.65647 1.38589
0.359115	3.65647 1.38594	3.65647 1.38589
0.360144	3.65647 1.38594	3.65647 1.38589
0.361127	3.65647 1.38594	3.65647 1.38589
0.362125	3.65647 1.38594	3.65647 1.38589
0.363119	3.65647 1.38594	3.65647 1.38589
0.364139	3.65647 1.38594	3.65647 1.38589
0.365123	3.65647 1.38594	3.65647 1.38589
0.366117	3.65647 1.38594	3.65647 1.38589
0.367117	3.65647 1.38594	3.65647 1.38589
0.368115	3.65647 1.38594	3.65647 1.38589
0.369091	3.65647 1.38594	3.65647 1.38589
0.370144	3.65647 1.38594	3.65647 1.38589
0.371124	3.65647 1.38594	3.65647 1.38589
0.372121	3.65647 1.38594	3.65647 1.38589
0.37312	3.65647 1.38594	3.65647 1.38589
0.374122	3.65647 1.38594	3.65647 1.38589
0.375121	3.65647 1.38594	3.65647 1.38589
0.37612	3.65647 1.38594	3.65647 1.38589
0.377122	3.65647 1.38594	3.65647 1.38589
0.378122	3.65647 1.38594	3.65647 1.38589
0.37912	3.65647 1.38594	3.65647 1.38589
0.380122	3.65647 1.38594	3.65647 1.38589
0.381117	3.65647 1.38594	3.65647 1.38589
0.382119	3.65647 1.38594	3.65647  1.3859
0.383116	3.65647 1.38594	3.65647  1.3859
0.384116	3.65647 1.38594	3.65647  1.3859
0.385087	3.65647 1.38594	3.65647  1.3859
0.386123	3.65647 1.38594	3.65647  1.3859
0.387119	3.65647 1.38594	3.65647  1.3859
0.388116	3.65647 1.38594	3.65647  1.3859
0.389115	3.65647 1.38594	3.65647  1.3859
0.390116	3.65647 1.38594	3.65647  1.3859
0.391115	3.65647 1.38594	3.65647  1.3859
0.392115	3.65647 1.38594	3.65647  1.3859
0.393117	3.65647 1.38594	3.65647  1.3859
0.394088	3.65647 1.38594	3.65647  1.3859
0.395123	3.65647 1.38594	3.65647  1.3859
0.396129	3.65647 1.38594	3.65647  1.3859
0.397125	3.65647 1.38594	3.65647  1.3859
0.398139	3.65647 1.38594	3.65647  1.3859
0.399123	3.65647 1.38594	3.65647  1.3859
0.400118	3.65647 1.38594	3.65647  1.3859
0.401116	3.65647 1.38594	3.65647  1.3859
0.402145	3.65647 1.38594	3.65647  1.3859
0.403129	3.65647 1.38594	3.65647  1.3859
0.40412	3.65647 1.38594	3.65647  1.3859
0.405117	3.65647 1.38594	3.65647  1.3859
0.406117	3.65647 1.38594	3.65647  1.3859
0.407115	3.65647 1.38594	3.65647  1.3859
0.408115	3.65647 1.38594	3.65647  1.3859
